model,prompt,questions,runs_min_per_question,runs_median_per_question,runs_max_per_question,stable_n,stable_pct,unstable_n,unstable_pct,entropy_mean,entropy_median,abstain_flip_n,abstain_flip_pct,runs_observed,coverage_min_pct,coverage_median_pct
claude4,baseline,500,5,5.0,5,470,94.0,30,6.0,0.0539,-0.0,0,0.0,5,100.0,100.0
deepseek,baseline,500,5,5.0,5,388,77.6,112,22.4,0.1992,-0.0,0,0.0,5,100.0,100.0
gemini,baseline,500,5,5.0,5,408,81.6,92,18.4,0.1702,-0.0,0,0.0,5,100.0,100.0
gpt,baseline,500,5,5.0,5,405,81.0,95,19.0,0.1648,-0.0,0,0.0,5,100.0,100.0
llama,baseline,500,5,5.0,5,491,98.2,9,1.8,0.017,-0.0,0,0.0,5,100.0,100.0
claude4,doublecheck,500,5,5.0,5,476,95.2,24,4.8,0.0429,-0.0,0,0.0,5,100.0,100.0
deepseek,doublecheck,500,5,5.0,5,394,78.8,106,21.2,0.1936,-0.0,0,0.0,5,100.0,100.0
gemini,doublecheck,500,5,5.0,5,391,78.2,109,21.8,0.1941,-0.0,0,0.0,5,100.0,100.0
gpt,doublecheck,500,5,5.0,5,429,85.8,71,14.2,0.1196,-0.0,0,0.0,5,100.0,100.0
llama,doublecheck,500,5,5.0,5,481,96.2,19,3.8,0.0319,-0.0,0,0.0,5,100.0,100.0
claude4,safety,500,5,5.0,5,480,96.0,20,4.0,0.0334,-0.0,0,0.0,5,100.0,100.0
deepseek,safety,500,5,5.0,5,375,75.0,125,25.0,0.2267,-0.0,0,0.0,5,100.0,100.0
gemini,safety,500,5,5.0,5,401,80.2,99,19.8,0.1825,-0.0,0,0.0,5,100.0,100.0
gpt,safety,500,5,5.0,5,421,84.2,79,15.8,0.1358,-0.0,0,0.0,5,100.0,100.0
llama,safety,500,5,5.0,5,491,98.2,9,1.8,0.016,-0.0,0,0.0,5,100.0,100.0
claude4,think,500,5,5.0,5,470,94.0,30,6.0,0.0493,-0.0,0,0.0,5,100.0,100.0
deepseek,think,500,5,5.0,5,394,78.8,106,21.2,0.1918,-0.0,0,0.0,5,100.0,100.0
gemini,think,500,5,5.0,5,406,81.2,94,18.8,0.1675,-0.0,0,0.0,5,100.0,100.0
gpt,think,500,5,5.0,5,442,88.4,58,11.6,0.107,-0.0,0,0.0,5,100.0,100.0
llama,think,500,5,5.0,5,494,98.8,6,1.2,0.0102,-0.0,0,0.0,5,100.0,100.0
